second,Volt1,Volt2,Volt3,Volt4
-5.9756000E+00,+3.2050209E+00,+36.4516E-03,+8.3683E-03,+19.7152E-03
-5.9752000E+00,+3.2050209E+00,+25.1047E-03,-1.8801E-03,+8.3683E-03
-5.9748000E+00,+3.2201282E+00,+9.9974E-03,-8.3681E-03,+8.3683E-03
-5.9744000E+00,+3.2050209E+00,+25.1047E-03,-8.3681E-03,+8.3683E-03
-5.9740000E+00,+3.2050209E+00,+25.1047E-03,-279.4E-06,+8.3683E-03
-5.9736000E+00,+3.1920733E+00,+38.0523E-03,+8.3683E-03,+21.3159E-03
-5.9732000E+00,+3.2050209E+00,+25.1047E-03,-8.3681E-03,+24.0345E-03
-5.9728000E+00,+3.2050209E+00,+25.1047E-03,-2.4391E-03,+20.2263E-03
-5.9724000E+00,+3.2050209E+00,+25.1047E-03,-2.4197E-03,+20.2652E-03
-5.9720000E+00,+3.2050209E+00,+40.7515E-03,+7.2787E-03,+8.3683E-03
-5.9716000E+00,+3.2050209E+00,+41.8411E-03,-8.3681E-03,+8.3683E-03
-5.9712000E+00,+3.2050209E+00,+33.2128E-03,+260.1E-06,+16.9965E-03
-5.9708000E+00,+3.2050209E+00,+25.1047E-03,+8.3683E-03,+25.1047E-03
-5.9704000E+00,+3.2050209E+00,+38.6216E-03,+6.7585E-03,+8.3683E-03
-5.9700000E+00,+3.1985523E+00,+14.8369E-03,+4.5691E-03,+21.3055E-03
-5.9696000E+00,+3.1882845E+00,+25.1047E-03,+13.7771E-03,+30.5135E-03
-5.9692000E+00,+3.2044709E+00,+25.1047E-03,-24.0046E-03,+25.1047E-03
-5.9688000E+00,+3.1925934E+00,+37.5321E-03,+4.0593E-03,+16.4867E-03
-5.9684000E+00,+3.2050209E+00,+25.1047E-03,-8.3681E-03,+9.9676E-03
-5.9680000E+00,+3.2050209E+00,+25.1047E-03,-8.3681E-03,+11.0779E-03
-5.9676000E+00,+3.2050209E+00,+27.2539E-03,+6.2190E-03,+25.1047E-03
-5.9672000E+00,+3.2050209E+00,+34.8329E-03,-8.3681E-03,+25.1047E-03
-5.9668000E+00,+3.2050209E+00,+25.1047E-03,-8.3681E-03,+25.1047E-03
-5.9664000E+00,+3.2050209E+00,+25.1047E-03,+8.3579E-03,+8.3786E-03
-5.9660000E+00,+3.2098694E+00,+41.8411E-03,+8.3683E-03,+25.1047E-03
-5.9656000E+00,+3.2120498E+00,+41.8411E-03,-1.3392E-03,+25.1047E-03
