s,v,i
3285,3.30002,3.73683e-05
3286,3.2998,1.53106e-05
3287,3.29995,2.51717e-05
3288,3.29994,2.68585e-05
3289,3.29995,3.10105e-05
3290,3.30001,2.58205e-05
3291,3.29999,2.32254e-05
3292,3.29994,2.54312e-05
3293,3.29986,7.39575e-06
3294,3.29999,2.63395e-05
3295,3.29991,1.97221e-05
3296,3.29987,2.7118e-05
3297,3.29981,3.0751e-05
3298,3.29989,2.4004e-05
3299,3.30002,1.67379e-05
3300,3.29989,3.39948e-05
3301,3.29996,3.51626e-05
3302,3.29992,2.25767e-05
3303,3.29979,1.29751e-05
3304,3.29991,4.30774e-05
3305,3.29995,4.39857e-05
3306,3.29984,2.49122e-05
3307,3.29994,1.81651e-05
3308,3.29998,3.47733e-05
3309,3.29991,7.13626e-06
3310,3.29996,2.02412e-05
3311,3.29995,4.81377e-05
3312,3.29995,7.785e-06
3313,3.29997,1.50511e-05
3314,3.29991,1.45321e-05
3315,3.29994,4.12609e-05
3316,3.29992,2.33552e-05
3317,3.30001,1.64784e-05
3318,3.29984,5.96849e-06
3319,3.30004,3.68493e-05
3320,3.29989,3.59411e-05
3321,3.29999,1.34941e-05
3322,3.29999,2.60799e-05
3323,3.29977,2.36147e-05
3324,3.30003,1.12883e-05
3325,3.29992,1.05098e-05
3326,3.29998,2.11494e-05
3327,3.29998,3.2827e-05
3328,3.29993,1.2456e-05
3329,3.29984,2.73775e-05
3330,3.29991,1.38833e-05
3331,3.29999,9.99079e-06
3332,3.29989,1.67379e-05
3333,3.29998,2.90643e-05
3334,3.29991,3.55518e-05
3335,3.29984,1.60891e-05
3336,3.29989,6.74698e-06
3337,3.3,3.73683e-05
3338,3.29998,2.12791e-05
3339,3.29994,2.75072e-05
3340,3.30008,2.73775e-05
3341,3.29996,3.10105e-05
3342,3.29987,4.24287e-05
3343,3.29991,3.03618e-05
3344,3.2999,2.36147e-05
3345,3.29998,2.72478e-05
3346,3.29998,2.62097e-05
3347,3.30006,1.50511e-05
3348,3.29997,2.8675e-05
3349,3.3,4.33369e-05
3350,3.29994,5.70899e-06
3351,3.3,2.69882e-05
3352,3.29994,2.23172e-05
3353,3.29992,2.5042e-05
3354,3.29985,1.36238e-05
3355,3.29988,1.59593e-05
3356,3.29995,9.21225e-06
3357,3.29998,1.40131e-05
3358,3.30007,3.97039e-05
3359,3.29993,7.52548e-06
3360,3.29993,1.72569e-05
3361,3.29982,1.64784e-05
3362,3.29996,1.90734e-05
3363,3.30007,1.45321e-05
3364,3.29996,3.93146e-05
3365,3.29997,1.72569e-05
3366,3.29996,2.12792e-05
3367,3.29993,1.50511e-05
3368,3.29996,2.21874e-05
3369,3.29979,2.06304e-05
3370,3.30001,2.64692e-05
3371,3.29996,3.26973e-05
3372,3.2999,3.19188e-05
3373,3.29989,2.89345e-05
3374,3.29995,-1.94635e-06
3375,3.3,2.67287e-05
3376,3.29993,2.80263e-05
3377,3.29989,1.95924e-05
3378,3.29983,5.08625e-05
3379,3.29995,2.75072e-05
3380,3.30005,8.304e-06
3381,3.29987,1.06395e-05
3382,3.2999,2.9194e-05
3383,3.30003,1.77759e-05
3384,3.29996,1.82949e-05
3385,3.3,2.37444e-05
3386,3.29994,7.78501e-06
3387,3.29989,3.72386e-05
3388,3.29993,1.07693e-05
3389,3.29994,3.33461e-05
3390,3.29995,2.7637e-05
3391,3.29988,5.70906e-05
3392,3.29998,3.2827e-05
3393,3.29998,2.63395e-05
3394,3.30006,2.56907e-05
3395,3.29991,2.16684e-05
3396,3.29991,5.06021e-06
3397,3.29991,2.7118e-05
3398,3.29995,3.74981e-05
3399,3.30004,1.89436e-05
3400,3.2999,2.33552e-05
3401,3.29989,2.89345e-05
3402,3.29998,2.56907e-05
3403,3.30008,2.99725e-05
3404,3.30002,3.55518e-05
3405,3.2999,3.71089e-05
3406,3.29989,3.30866e-05
3407,3.29999,1.06395e-05
3408,3.29999,2.95832e-05
3409,3.29994,1.99817e-05
3410,3.29999,2.84155e-05
3411,3.29994,2.20577e-05
3412,3.29996,2.42634e-05
3413,3.29988,2.27064e-05
3414,3.30001,1.40131e-05
3415,3.29995,1.15478e-05
3416,3.29994,2.14089e-05
3417,3.29986,2.64692e-05
3418,3.29996,2.72477e-05
3419,3.29995,4.55427e-05
3420,3.30005,3.51626e-05
3421,3.29996,3.19188e-05
3422,3.29999,3.51626e-05
3423,3.29994,2.62097e-05
3424,3.29993,6.87674e-06
3425,3.29998,1.19371e-05
3426,3.29991,3.25675e-05
3427,3.29995,1.79056e-05
3428,3.29993,2.24469e-05
3429,3.29998,2.46527e-05
3430,3.30003,2.42634e-05
3431,3.29976,3.63295e-06
3432,3.29978,1.28453e-05
3433,3.29988,1.46618e-05
3434,3.29985,6.4875e-06
3435,3.29998,2.89345e-05
3436,3.29983,1.82949e-05
3437,3.29991,1.99816e-05
3438,3.29997,3.84063e-05
3439,3.29996,1.63486e-05
3440,3.29998,1.27156e-05
3441,3.30001,1.67379e-05
3442,3.29988,2.64692e-05
3443,3.30002,2.9713e-05
3444,3.29994,3.63303e-05
3445,3.29983,1.82949e-05
3446,3.2999,2.75072e-05
3447,3.29989,8.30402e-06
3448,3.3,-1.68685e-06
3449,3.29984,1.32346e-05
3450,3.30004,4.42452e-05
3451,3.29987,3.21783e-05
3452,3.30004,2.20577e-05
3453,3.29991,4.93046e-06
3454,3.29997,4.34667e-05
3455,3.29992,2.78965e-05
3456,3.29987,-3.89355e-07
