s,v,i
6312,3.29999,3.11403e-05
6313,3.2999,4.00931e-05
6314,3.29991,2.72477e-05
6315,3.30001,2.07602e-05
6316,3.29993,3.06213e-05
6317,3.29985,2.10197e-05
6318,3.29993,1.14181e-05
6319,3.29995,2.10197e-05
6320,3.29995,2.06304e-05
6321,3.29995,3.74981e-05
6322,3.29999,1.79056e-05
6323,3.29988,2.28362e-05
6324,3.30007,3.91848e-05
6325,3.29992,4.03526e-05
6326,3.29994,3.82766e-05
6327,3.29995,2.63395e-05
6328,3.30005,4.04824e-05
6329,3.29994,2.29659e-05
6330,3.29996,-1.42737e-06
6331,3.29989,1.07693e-05
6332,3.29996,9.34202e-06
6333,3.3,2.64692e-05
6334,3.30003,2.64692e-05
6335,3.30001,2.06304e-05
6336,3.30004,1.58296e-05
6337,3.30001,2.80262e-05
6338,3.30007,3.08808e-05
6339,3.29995,2.75072e-05
6340,3.29988,2.05007e-05
6341,3.29995,2.46527e-05
6342,3.29998,3.71088e-05
6343,3.29996,2.51717e-05
6344,3.29993,3.06213e-05
6345,3.30004,3.87956e-05
6346,3.29989,2.49122e-05
6347,3.29995,3.93146e-05
6348,3.3,1.02503e-05
6349,3.29991,2.62097e-05
6350,3.29981,1.20668e-05
6351,3.29998,8.0445e-06
6352,3.3,9.34204e-06
6353,3.29992,2.54312e-05
6354,3.29985,2.93237e-05
6355,3.29984,1.54404e-05
6356,3.29995,1.88139e-05
6357,3.29995,1.82949e-05
6358,3.30004,2.01114e-05
6359,3.29993,3.91849e-05
6360,3.29992,1.44023e-05
6361,3.29988,1.86841e-05
6362,3.29988,1.89436e-05
6363,3.30004,2.7118e-05
6364,3.29992,1.19371e-05
6365,3.29986,3.06213e-05
6366,3.2998,3.45138e-05
6367,3.29995,2.23172e-05
6368,3.29993,2.90642e-05
6369,3.30001,2.15387e-05
6370,3.29977,2.20569e-06
6371,3.30002,3.04915e-05
6372,3.29991,2.37444e-05
6373,3.29974,-4.02237e-06
6374,3.3,3.36056e-05
6375,3.29987,2.8156e-05
6376,3.3,3.91849e-05
6377,3.3,1.16775e-05
6378,3.29991,2.45229e-05
6379,3.29995,1.60891e-05
6380,3.29993,2.94535e-05
6381,3.29985,4.8008e-05
6382,3.29988,2.47824e-05
6383,3.29992,1.49213e-05
6384,3.29998,8.0445e-06
6385,3.29992,2.82857e-05
6386,3.29993,5.70897e-06
6387,3.3,1.45321e-05
6388,3.29991,1.2456e-05
6389,3.29985,3.50321e-06
6390,3.29986,1.58296e-05
6391,3.29982,1.53106e-05
6392,3.29988,2.93237e-05
6393,3.29987,1.25858e-05
6394,3.29992,1.88139e-05
6395,3.30004,1.62189e-05
6396,3.29998,2.08899e-05
6397,3.29997,1.49213e-05
6398,3.29997,1.51808e-05
6399,3.2997,9.99076e-06
6400,3.2999,2.77667e-05
6401,3.29984,3.47733e-05
6402,3.29982,2.21874e-05
6403,3.29983,2.05007e-05
6404,3.30003,2.19279e-05
6405,3.30001,2.50419e-05
6406,3.2999,1.67378e-05
6407,3.30004,2.11494e-05
6408,3.29996,8.56353e-06
6409,3.29997,2.27064e-05
6410,3.30003,3.1789e-05
6411,3.29992,2.03709e-05
6412,3.29987,1.49213e-05
6413,3.29985,1.86841e-05
6414,3.30012,3.24378e-05
6415,3.30007,2.82857e-05
6416,3.30001,2.42634e-05
6417,3.29999,7.266e-06
6418,3.29982,1.76461e-05
6419,3.3,3.49031e-05
6420,3.30002,3.3346e-05
6421,3.29992,3.91849e-05
6422,3.29992,2.94535e-05
6423,3.30006,2.53015e-05
6424,3.30001,1.82949e-05
6425,3.3,1.97221e-05
6426,3.29989,2.17982e-05
6427,3.29984,9.47179e-06
6428,3.29998,2.54312e-05
6429,3.29995,1.53106e-05
6430,3.3,2.25767e-05
6431,3.30002,3.25675e-05
6432,3.29985,1.29751e-05
6433,3.29982,2.33552e-05
6434,3.3,3.06213e-05
6435,3.29998,1.94626e-05
6436,3.29992,2.21874e-05
6437,3.29981,4.02222e-06
6438,3.29997,2.75072e-05
6439,3.29998,1.77759e-05
6440,3.2999,2.88048e-05
